jhu-apl,MD,US
ccrta,MA,US
chapel-hill,NC,US
charm-city,MD,US
ccny,NY,US
oxford-ms,MS,US
west-hollywood,S-CA,US
dc-circulator,DC,US
da,NY,US
dumbarton,N-CA,US
charles-river,MA,US
ecu,NC,US
escalon,N-CA,US
fast,N-CA,US
fairfax,VA,US
foothill,S-CA,US
glendale,S-CA,US
glendale-beeline,S-CA,US
south-coast,S-CA,US
indianapolis-air,IN,US
jfk,NY,US
jtafla,FL,US
laguardia,NY,US
lga,NY,US
lametro,S-CA,US
lametro-rail,S-CA,US
lincolnlab,MA,US
manteca-transit,N-CA,US
mit,MA,US
ewr,NJ,US
nova-se,FL,US
omnitrans,S-CA,US
pvpta,S-CA,US
sria,FL,US
psu,NH,US
portland-sc,OR,US
pgc,MD,US
reno,NV,US
radford,VA,US
roosevelt,NY,US
sf-muni,N-CA,US
seattle-sc,WA,US
solano-express,N-CA,US
sct,N-CA,US
geg,WA,US
tahoe,N-CA,US
ft-worth,TX,US
bruinbus,S-CA,US
ucla,S-CA,US
unitrans,N-CA,US
ucb,N-CA,US
umd,MD,US
vacaville,N-CA,US
vista,S-CA,US
wku,KY,US
winston-salem,NC,US
